$MMM,stockbard,2016-06-03 02:00:52,23,2,7899,1,0
$MMM,janopetsa,2009-04-01 07:59:29,2798,2546,6295,14,776
$MMM,samuraimannen,2015-04-28 18:39:35,182,132,1091,8,205
$MMM,DividendGrowth,2009-01-03 22:50:30,3593,70,6014,145,2660
$MMM,JC_PIP,2013-01-08 04:07:27,1663,1000,19744,124,30
$MMM,DvdndDiplomats,2014-05-16 15:58:43,4950,4877,6335,307,1254
$MMM,OnaMouse,2012-03-08 15:06:32,18,85,166,9,456
$MMM,TalkMarkets,2012-12-10 07:55:31,2073,618,116156,588,225
$MMM,DozenStocks,2012-04-30 16:54:56,914,7,56639,89,0
$MMM,amystocks21334,2016-02-09 02:02:29,200,40,21480,60,0
$MMM,goldrush201617,2016-02-17 05:42:47,175,58,21583,57,0
$MMM,markcarson161,2016-02-10 02:03:59,211,40,20977,68,0
$MMM,Top_Dow_Stocks,2014-04-21 01:09:20,90,7,19694,14,0
$MMM,zenect,2011-02-15 22:32:03,4109,2520,1253,52,11
$MMM,WatchMust,2016-02-10 08:45:45,319,40,21233,60,0
$ABT,ctfn_news,2014-04-18 16:19:28,1141,1786,1893,96,8
$ABT,SlingshotCtlyst,2016-01-28 23:05:06,65,5,1298,3,8
$ABT,sarpring,2011-08-20 02:51:42,482,504,1067,37,80
$ABT,TripleDTrader,2009-10-07 22:37:33,6291,630,7574,267,1120
$ABT,pulpmarkets,2015-11-27 17:59:56,136,315,65966,113,42
$ABT,OpenOutcrier,2014-02-09 05:53:38,23785,262,64679,923,11474
$ABT,StockNewsWires,2014-02-13 05:31:52,1423,9,361930,181,0
$ABT,theapacs,2014-07-11 10:16:09,14,156,92,1,55
$ABT,TalkMarkets,2012-12-10 07:55:31,2073,618,116156,588,225
$ABBV,imoveon,2008-04-14 17:30:24,41,20,340,1,16
$ABBV,Sandman7591,2011-02-18 20:51:21,8177,77,36974,261,2044
$ABBV,OpenOutcrier,2014-02-09 05:53:38,23785,262,64679,923,11474
$ABBV,budfoxhub,2015-03-13 19:47:45,674,52,42211,61,195
$ABBV,ParthAthavale,2012-09-21 18:13:34,60,49,1059,0,18
$ABBV,WallStJesus,2012-01-27 04:41:55,40323,9323,99937,1214,9169
$ABBV,BluePrintOrphan,2016-08-15 22:12:30,148,1479,91,8,0
$ABBV,investmentleag,2016-10-21 20:41:04,23,34,44,1,4
$ABBV,Lin_ling_88,2009-06-29 02:50:45,1368,497,12998,153,8096
$ABBV,abbvie,2012-03-21 03:42:59,37951,437,3039,648,159
$ABBV,pharma_sector,2016-01-27 09:20:59,866,2,75188,55,0
$ABBV,stockpickerof21,2016-03-06 05:55:15,166,20,17807,55,0
$ABBV,xfinstocks2016,2016-03-06 05:50:09,176,40,18394,62,0
$ABBV,Investing_Books,2016-07-13 15:03:24,395,12,715,374,3926
$ABBV,DividendSheet,2010-07-18 15:29:15,3121,27,25151,158,4
$ABBV,AndysCycles,2015-11-14 19:45:33,5660,622,2866,39,3195
$ABBV,Greg5thTrad,2014-12-14 02:09:47,184,23,3984,23,3791
$ABBV,dailypoliticaln,2014-02-11 19:38:04,604,10,232180,65,0
$ABBV,PolgarStocks,2013-09-10 02:17:36,1260,445,232878,203,0
$ABBV,BioPharmaDive,2013-07-02 21:00:07,6524,349,6679,176,95
$ABBV,WatchlistN,2014-01-19 00:22:08,884,10,412302,97,0
$ABBV,mchilberg,2012-01-13 20:24:48,278,76,4520,243,473
$ABBV,newswelldone,2014-02-14 00:21:52,684,0,319717,143,0
$ABBV,ezzmoney2day,2016-02-09 02:05:30,189,40,21032,60,0
$ABBV,JasonFieber,2015-09-10 00:59:00,1671,196,2066,29,206
$ABBV,StockTradePicks,2011-04-26 00:45:37,1513,186,95871,75,30
$ABBV,thejudgewill451,2016-02-10 08:38:03,186,40,20476,54,0
$ABBV,CowenResearch,2012-07-17 17:41:57,9816,1211,5105,378,56
$ABBV,thepeople4stoc1,2016-02-10 08:41:07,188,40,21606,62,0
$ABBV,amystocks21334,2016-02-09 02:02:29,200,40,21480,60,0
$ABBV,TalkMarkets,2012-12-10 07:55:31,2073,618,116156,588,225
$ABBV,thelegacynewswi,2014-02-17 16:19:38,2481,11,444400,130,0
$ACN,intercooleronli,2014-05-26 21:20:18,694,6,369527,112,0
$ATVI,ZaysevB,2016-05-26 08:45:36,317,536,654,13,3
$ATVI,beau_ebooks,2014-04-28 12:05:11,37,1,13859,8,3
$ATVI,MomentumPtrsLLC,2010-05-11 21:05:43,232,29,34790,27,57
$ATVI,SwatOptions,2010-01-19 19:48:23,19923,118,43752,325,2146
$ATVI,DFloorDanny,2011-07-04 13:04:38,106,134,1137,4,168
$ATVI,EliteDayTraders,2012-02-20 19:16:51,26585,128,28645,263,43
$ATVI,RussellKBrett,2014-03-11 04:52:26,9,4,456,2,4
$ATVI,TradingSysGroup,2016-01-22 10:34:23,1088,1084,2807,6,29
$ATVI,tymorapro,2009-04-30 16:28:23,6825,268,179083,129,7
$ATVI,ScalpMaster1,2015-01-06 17:38:50,35625,6053,3001,195,4127
$ATVI,NDX100,2009-08-31 04:10:41,8262,6161,2756,101,2864
$ATVI,StkConfidential,2009-10-22 22:50:01,25247,20418,15109,298,2
$ATVI,bigbear0083,2014-11-02 19:38:52,58,12,157,21,77
$ATVI,OpenOutcrier,2014-02-09 05:53:38,23785,262,64679,923,11474
$ATVI,intowin2017,2016-02-10 02:07:35,180,39,21075,68,0
$ATVI,silverjet2,2009-03-10 23:01:34,845,64,34645,65,319
$ATVI,stockboardinc,2016-02-04 10:18:01,180,39,31540,72,0
$ATVI,AnalystWire,2012-09-11 19:57:26,3301,2,72092,197,1
$ATVI,thejudgewill451,2016-02-10 08:38:03,186,40,20476,54,0
$ATVI,kenedwards_ken,2016-02-10 08:48:18,199,40,21291,56,0
$ATVI,Investing_Books,2016-07-13 15:03:24,395,12,715,374,3926
$ATVI,JorelLaraKalel,2013-08-15 03:20:37,3575,4083,15636,122,505
$ATVI,ProfectuSystems,2016-07-12 20:09:59,1865,12,678,18,4932
$ATVI,MarketsRecap,2014-09-30 18:00:06,499,13,47879,311,5
$ATVI,xfinstocks2016,2016-03-06 05:50:09,176,40,18394,62,0
$AYI,masterofstocks1,2016-02-10 08:54:24,254,60,20933,63,0
$AYI,Allstocknews,2014-02-22 15:38:57,1460,10,467713,201,0
$AYI,StockTradePicks,2011-04-26 00:45:37,1513,186,95871,75,30
$AYI,Briefingcom,2009-09-09 19:23:53,19301,3487,233461,1048,26
$AYI,WatchlistN,2014-01-19 00:22:08,884,10,412302,97,0
$ADBE,CharlesNance415,2016-02-16 14:11:38,17929,19597,6967,399,3598
$ADBE,AmyDaniel212,2016-02-24 17:06:51,22719,24820,7180,466,4131
$ADBE,stockmarketbul1,2016-02-09 01:55:04,218,41,21288,60,0
$ADBE,dexoidan,2014-02-07 05:05:34,142,124,2246,0,71
$ADBE,intercooleronli,2014-05-26 21:20:18,694,6,369527,112,0
$ADBE,moneyandstocks,2015-01-05 18:27:36,68,40,25301,39,0
$ADBE,S_R_Charts,2015-08-10 13:10:53,41,84,322,20,2
$ADBE,DailyStockPlays,2012-03-18 19:19:58,5151,17,66411,154,8
$ADBE,stockfollower4u,2016-02-09 01:59:10,229,40,21374,59,0
$ADBE,App_sw_,2016-01-28 14:48:47,535,2,221385,577,0
$ADBE,xfinstocks2016,2016-03-06 05:50:09,176,40,18394,62,0
$ADBE,WatchMust,2016-02-10 08:45:45,319,40,21233,60,0
$ADBE,goldrush201617,2016-02-17 05:42:47,175,58,21583,57,0
$ADBE,YamasutaTrader,2014-12-01 16:32:09,394,8,85134,72,1377
$AES,BenzingaMedia,2009-12-22 22:40:36,2399,137,312042,127,0
$AES,TalkMarkets,2012-12-10 07:55:31,2073,618,116156,588,225
$AET,StockTradePicks,2011-04-26 00:45:37,1513,186,95871,75,30
$AET,InsiderWire,2014-01-03 18:08:19,9112,6835,117046,143,4
$AET,thelegacynewswi,2014-02-17 16:19:38,2481,11,444400,130,0
$AET,bigbluecup721,2016-02-10 08:51:22,268,40,21139,70,0
$AET,jgoldenstorm,2016-05-27 18:21:00,616,973,7838,109,6388
$AET,intercooleronli,2014-05-26 21:20:18,694,6,369527,112,0
$AET,newswithvalue,2014-02-13 16:14:12,707,0,318812,146,0
$AET,h_c_services,2016-01-26 15:00:42,695,2,135655,178,0
$AET,tkirkpatrick1,2009-06-22 03:26:06,1566,2599,2214,14,51
$AET,DAG_Investments,2012-10-28 07:36:39,285,820,4545,14,1477
$AET,brucejapsen,2009-03-04 05:39:07,11422,968,7707,855,2845
$AET,VisualStockRSRC,2012-09-18 15:12:29,1415,45,256163,94,8
$AET,MoneyTradin,2015-06-27 21:45:51,163,91,18058,54,0
$AMG,newswithvalue,2014-02-13 16:14:12,707,0,318812,146,0
$AMG,MScreener,2013-08-06 07:57:21,208,6,33117,7,0
$AMG,intowin2017,2016-02-10 02:07:35,180,39,21075,68,0
$APD,ProVesting,2014-11-17 20:15:38,996,6,361458,168,0
$APD,TradeWithSuper,2014-01-27 03:52:30,1760,1353,110289,205,372
$APD,YamasutaTrader,2014-12-01 16:32:09,394,8,85134,72,1377
$AKAM,ConsumerFeed,2009-08-25 00:39:44,4757,2822,455469,752,0
$AKAM,RJB_trading2,2013-05-12 18:21:10,6620,7218,20250,160,487
$AKAM,amystocks21334,2016-02-09 02:02:29,200,40,21480,60,0
$AKAM,Trade_Alertinto,2015-06-25 04:39:22,196,53,20186,57,0
$AKAM,intercooleronli,2014-05-26 21:20:18,694,6,369527,112,0
$ALK,thelegacynewswi,2014-02-17 16:19:38,2481,11,444403,130,0
$ALK,stockmarketbul1,2016-02-09 01:55:04,218,41,21288,60,0
$ALK,NewsToDesk,2014-02-15 05:49:10,1170,1,307681,147,0
$AA,HitTheBidRadio,2011-06-10 17:20:33,7691,334,6119,73,784
$AA,VisualStockRSRC,2012-09-18 15:12:29,1415,45,256165,94,8
$AA,fintel_io,2015-11-28 23:40:12,41,107,7088,6,1
$AA,confcalltran,2014-07-11 01:17:30,487,27,133509,60,0
$AA,Red2GreenPTTTTP,2016-03-20 05:05:05,2439,1919,458,18,446
$AA,jaytrades16,2016-02-09 01:48:34,160,40,21010,62,0
$AA,MyAlliesTrading,2014-03-19 14:36:36,374,0,237522,218,0
$AA,dbculli,2014-07-30 19:49:17,61,168,562,17,50
$AA,TweetLeni,2010-02-01 22:28:05,4096,498,69172,174,8367
$AA,SpideyTrader,2014-01-19 23:23:28,225,103,5509,11,53
$AA,OTCroughrider,2015-01-17 22:19:31,74,0,5620,9,0
$AA,HughJRobbins,2015-06-18 14:16:56,456,414,3427,29,229
$AA,WatchlistN,2014-01-19 00:22:08,884,10,412302,97,0
$AA,BrianDColwell,2015-06-13 18:47:51,6843,5498,47727,3565,9569
$AA,AnalystActions,2014-02-13 06:57:40,393,0,180568,60,0
$AA,YamasutaTrader,2014-12-01 16:32:09,394,8,85134,72,1377
$AA,midetimes,2013-12-28 20:16:47,1274,57,194910,96,0
$AA,Stock_Huntress,2014-12-26 03:17:25,324,40,24296,84,0
$ALXN,LSSTrading,2011-07-30 23:19:54,151,126,353,33,3
$ALXN,ChiliTrader,2011-11-20 20:29:21,102,157,244,3,282
$ALXN,midetimes,2013-12-28 20:16:47,1274,57,194910,96,0
$ALXN,WatchlistN,2014-01-19 00:22:08,884,10,412302,97,0
$ALXN,Trade_Alertinto,2015-06-25 04:39:22,196,53,20186,57,0
$ALXN,AnalystActions,2014-02-13 06:57:40,393,0,180568,60,0
$ALXN,UNITED__BIOTECH,2016-01-29 09:21:58,964,186,4076,45,1784
$ALXN,amystocks21334,2016-02-09 02:02:29,200,40,21480,60,0
$ALXN,intercooleronli,2014-05-26 21:20:18,694,6,369527,112,0
$AGN,WillMicJan,2011-08-28 02:36:20,12,15,615,9,29
$AGN,brianfires,2016-02-23 04:35:32,97,162,2761,8,90
$AGN,FajaJake,2014-08-04 21:36:49,609,191,2101,28,1354
$AGN,Alexability,2011-06-23 16:33:35,39,28,3696,13,0
$AGN,SentiQuant,2014-04-13 02:26:38,1051,977,23241,190,215
$AGN,MookTrader,2012-09-13 14:35:11,3904,14,12495,121,1439
$AGN,GarlandJames,2010-05-13 05:26:47,336,1156,36104,40,705
$AGN,MaisaCorp,2013-04-22 00:38:27,1676,3,43850,67,375
$AGN,StockflareUS,2010-04-20 16:59:29,93,24,16275,13,0
$AGN,Tootix,2010-10-16 17:45:13,137,122,2506,14,341
$AGN,TalkMarkets,2012-12-10 07:55:31,2073,618,116157,588,225
$AGN,thelegacynewswi,2014-02-17 16:19:38,2481,11,444403,130,0
$GOOGL,WallStJesus,2012-01-27 04:41:55,40323,9323,99937,1214,9169
$GOOGL,EarningsPal,2014-05-14 03:37:00,420,495,1669,12,171
$GOOGL,RevShark,2012-06-08 12:47:33,3314,73,5720,126,391
$GOOGL,stockpulp,2013-10-24 01:07:12,7522,6719,1510,96,923
$GOOGL,OphirGottlieb,2009-12-28 19:13:21,11629,206,57336,615,15449
$GOOGL,fettyvwap,2012-05-31 21:27:57,76,138,1856,11,1582
$GOOGL,StockTradePicks,2011-04-26 00:45:37,1513,186,95871,75,30
$GOOGL,todd_harrison,2009-05-12 17:34:21,12146,2106,18942,474,2062
$GOOGL,TheStreet,2008-06-30 19:12:38,542997,1137,100032,5000,4070
$GOOGL,BretRosenthal,2009-04-10 16:09:58,1343,105,14094,54,31
$GOOGL,HFTAlert,2012-01-05 01:27:24,13092,256,11776,552,261
$GOOGL,BrianDColwell,2015-06-13 18:47:51,6843,5498,47727,3565,9569
$GOOGL,SJosephBurns,2010-10-16 19:43:04,55909,211,74642,1718,42340
$GOOGL,amystocks21334,2016-02-09 02:02:29,200,40,21480,60,0
$GOOGL,stockmarketbul1,2016-02-09 01:55:04,218,41,21288,60,0
$GOOGL,Benzinga,2009-06-02 04:43:10,53736,1605,108919,2081,2472
$GOOGL,StockNewsWires,2014-02-13 05:31:52,1423,9,361935,181,0
$GOOGL,BrainandMoney,2010-02-17 05:17:54,766442,1075,78012,522,482
$GOOGL,newswelldone,2014-02-14 00:21:52,684,0,319719,143,0
$GOOGL,syclnt,2016-11-03 21:12:21,3,2,20,1,0
$GOOGL,stockpickerof21,2016-03-06 05:55:15,166,20,17809,55,0
$GOOGL,xfinstocks2016,2016-03-06 05:50:09,176,40,18394,62,0
$GOOGL,TalkMarkets,2012-12-10 07:55:31,2073,618,116157,588,225
$GOOGL,scalpthatstock,2014-02-15 04:19:28,3190,4975,13621,98,235
$GOOGL,altNewsdotcom,2016-10-08 21:39:34,105,75,132,1,31
